barcode	filename	checksum	analysis_id	uploaded	modified
TCGA-BF-A1PU-10A-01D-A19A-08	C828.TCGA-BF-A1PU-10A-01D-A19A-08.3.bam	dcc9c3e461277849e23f5aa30b82d934	994fc4fc-9487-4603-9205-36463e2d6753	9/22/13	9/22/13
TCGA-BF-A1PU-01A-11D-A19A-08	C828.TCGA-BF-A1PU-01A-11D-A19A-08.3.bam	cee5b027c8e99b0feb606fa2de05029f	d67b533f-ce0a-4295-81e6-1ee2a98a3080	9/22/13	9/22/13
TCGA-BF-A1PV-10A-01D-A19A-08	C828.TCGA-BF-A1PV-10A-01D-A19A-08.3.bam	1800ecc7ea3acef65c0aa146f4f95331	543678a4-8b96-487f-8d11-51af694bb56e	9/22/13	9/22/13
TCGA-BF-A1PV-01A-11D-A19A-08	C828.TCGA-BF-A1PV-01A-11D-A19A-08.3.bam	8919781aeb631771cdcb02b29dd827d3	3e7def65-6453-4180-a6cf-df3e18849f2f	9/22/13	9/22/13
TCGA-BF-A1PX-10A-01D-A19A-08	C828.TCGA-BF-A1PX-10A-01D-A19A-08.2.bam	57b40b227df93364b524209aa0387e11	5fffc0df-075d-477d-bca7-1f7ed492a9bc	9/22/13	9/22/13
TCGA-BF-A1PX-01A-12D-A19A-08	C828.TCGA-BF-A1PX-01A-12D-A19A-08.2.bam	9767f2a9107f60b1f87ee115d2fbf128	09f5e55c-3c3f-47b6-8329-d0d83e40f69d	9/22/13	9/22/13
TCGA-BF-A1PZ-10A-01D-A19A-08	C828.TCGA-BF-A1PZ-10A-01D-A19A-08.3.bam	1a7fbcfb3c45d77c42621a1bc09c936d	f0a28be2-5332-4ffe-a384-cc2fd5e66994	9/22/13	9/22/13
TCGA-BF-A1PZ-01A-11D-A19A-08	C828.TCGA-BF-A1PZ-01A-11D-A19A-08.3.bam	a9d460d213350097643fce95ce0b2679	9ba809c6-3dab-431a-b920-ca81064d651d	9/22/13	9/22/13
TCGA-BF-A1Q0-10A-01D-A19A-08	C828.TCGA-BF-A1Q0-10A-01D-A19A-08.2.bam	f665818da8e06cc4326c146b2c33935c	c6270583-c940-4eef-a8fc-c4ee669e467f	9/22/13	9/22/13
TCGA-BF-A1Q0-01A-21D-A19A-08	C828.TCGA-BF-A1Q0-01A-21D-A19A-08.2.bam	f5fb0bb6d061a80c6fb9c0a681db0a8b	0cb7ee60-c7b6-457a-a987-77a66daa05ba	9/22/13	9/22/13
TCGA-BF-A3DJ-10A-02D-A20D-08	C828.TCGA-BF-A3DJ-10A-02D-A20D-08.1.bam	ae68bf255d1bda9cdcf6e2d503c27d59	5e1f9559-55f4-4b5e-8bb6-3e0b8c4a91f9	9/8/12	5/16/13
TCGA-BF-A3DJ-01A-11D-A20D-08	C828.TCGA-BF-A3DJ-01A-11D-A20D-08.1.bam	2712f0aa24385d09e7c13a5682eae264	aae4bc75-8569-4899-8a44-add2dd5d6aa4	9/7/12	5/16/13
TCGA-BF-A3DL-10A-02D-A20D-08	C828.TCGA-BF-A3DL-10A-02D-A20D-08.1.bam	ac258e3fecd3b8eb247e81ffe3a073e4	a5a92b39-b90b-4927-9732-d1ec6d044311	9/8/12	5/16/13
TCGA-BF-A3DL-01A-11D-A20D-08	C828.TCGA-BF-A3DL-01A-11D-A20D-08.1.bam	21aa93b46494ad2c817d9ecb8fbf194d	4ed9a248-a247-4150-abcf-baeaf9528efb	9/7/12	5/16/13
TCGA-BF-A3DM-10A-02D-A20D-08	C828.TCGA-BF-A3DM-10A-02D-A20D-08.1.bam	52bfee33044604c4e6b5b6d78b5d44fe	4bdbbfa5-abbf-43b1-b5a1-27bfe6d4e5a3	9/7/12	5/16/13
TCGA-BF-A3DM-01A-11D-A20D-08	C828.TCGA-BF-A3DM-01A-11D-A20D-08.1.bam	0ddc267cc67c4b577846a6292a8f79fe	359a62a1-8918-4e8f-aa94-47d9af18d336	9/8/12	5/16/13
TCGA-BF-A3DN-10A-01D-A20D-08	C828.TCGA-BF-A3DN-10A-01D-A20D-08.1.bam	43bbb8d0f0b3ed84f1a78e05a4f92b86	108649a6-855e-4785-a8c6-c2eae09302ec	9/7/12	5/16/13
TCGA-BF-A3DN-01A-11D-A20D-08	C828.TCGA-BF-A3DN-01A-11D-A20D-08.1.bam	a94515a03523113b29d9b7394afb6321	59f0b54e-9abe-4c71-8a18-47f59140cc1c	9/7/12	5/16/13
TCGA-BF-A5EO-10A-01D-A27N-08	C828.TCGA-BF-A5EO-10A-01D-A27N-08.3.bam	68cb89737a0eb84637b4b245f5fdd2c9	42991886-dcf6-4afa-9e3e-7f43ca2060e3	6/12/13	6/12/13
TCGA-BF-A5EO-01A-12D-A27K-08	C828.TCGA-BF-A5EO-01A-12D-A27K-08.3.bam	3565e399f04099e1bf1852a80eb0ad1d	16be2393-e68e-4a89-886b-c00abff40fab	6/12/13	6/12/13
TCGA-BF-A5EQ-10A-01D-A27N-08	C828.TCGA-BF-A5EQ-10A-01D-A27N-08.3.bam	a6389b7834a2324c1962d5ce36ca30a7	a4ca2ec6-4a22-405d-985e-17ee81f9d9b5	6/11/13	6/11/13
TCGA-BF-A5EQ-01A-21D-A27K-08	C828.TCGA-BF-A5EQ-01A-21D-A27K-08.3.bam	9a6cd34783b61966e051bc547d1dcbd0	e49e512f-d1a4-4584-8ed9-5839390be4ab	6/12/13	6/12/13
TCGA-D3-A1Q1-10A-01D-A198-08	C828.TCGA-D3-A1Q1-10A-01D-A198-08.3.bam	2a7b475da9874374bc1f70586ca6c986	c1d3bd43-1606-49f0-a0ee-94008ef8bd6e	9/22/13	9/22/13
TCGA-D3-A1Q1-06A-21D-A196-08	C828.TCGA-D3-A1Q1-06A-21D-A196-08.3.bam	df36243002120f5a327153aab4c9105e	b97134ce-946b-49cf-920c-c18c02106a3b	9/22/13	9/22/13
TCGA-D3-A1Q3-10A-01D-A198-08	C828.TCGA-D3-A1Q3-10A-01D-A198-08.2.bam	cd9b81096a23ebab0013b2ba387ad0e0	0be74641-6740-42fb-b74a-c9fa15ca08f8	9/22/13	9/22/13
TCGA-D3-A1Q3-06A-11D-A196-08	C828.TCGA-D3-A1Q3-06A-11D-A196-08.2.bam	ce522b56e938cb7129e348a3cd04a05a	3828404d-42c0-47c5-b9d0-46f839f8ce4f	9/22/13	9/22/13
TCGA-D3-A1Q4-10A-01D-A198-08	C828.TCGA-D3-A1Q4-10A-01D-A198-08.2.bam	8f7d72f887f0675e9521c916a6f28ba6	090290b8-ceae-4174-8aaa-26bcf79b2978	9/22/13	9/22/13
TCGA-D3-A1Q4-06A-11D-A196-08	C828.TCGA-D3-A1Q4-06A-11D-A196-08.2.bam	e3512ff125551612323a5aba0720f8aa	82d9a233-cb51-4beb-b2fb-d1c92c90d5d9	9/22/13	9/22/13
TCGA-D3-A1Q5-10A-01D-A198-08	C828.TCGA-D3-A1Q5-10A-01D-A198-08.2.bam	8a0ec093e10622cfe92add741d7865e0	7364e45d-ef58-4290-b59a-edfab3be054c	9/22/13	9/22/13
TCGA-D3-A1Q5-06A-11D-A196-08	C828.TCGA-D3-A1Q5-06A-11D-A196-08.2.bam	66b40c4e34e8ae7ecd40eb796ce95b46	b699068f-18eb-447f-bd84-d1788d480c2f	9/22/13	9/22/13
TCGA-D3-A1Q6-10A-01D-A198-08	C828.TCGA-D3-A1Q6-10A-01D-A198-08.2.bam	53e4f7c0f726f48019497977702cee22	8c362f37-22dd-4102-ad4a-399781094752	9/22/13	9/22/13
TCGA-D3-A1Q6-06A-11D-A196-08	C828.TCGA-D3-A1Q6-06A-11D-A196-08.2.bam	c44c7add1a1ca2a6068b2a517203083f	ad0aa65e-6824-48c1-aafd-285854cf6804	9/22/13	9/22/13
TCGA-D3-A1Q7-10A-01D-A19A-08	C828.TCGA-D3-A1Q7-10A-01D-A19A-08.2.bam	637f53d8154a1022d54d0bb963cb0220	c89bf0ba-a208-4dc5-b30f-3ed02bc38cf2	9/22/13	9/22/13
TCGA-D3-A1Q7-06A-11D-A19A-08	C828.TCGA-D3-A1Q7-06A-11D-A19A-08.2.bam	ff1a6e569a0e3c4a927c68ae7568638c	c2d5b3cb-3f94-48b5-9fe9-7325e702acda	9/22/13	9/22/13
TCGA-D3-A1Q8-10A-01D-A19A-08	C828.TCGA-D3-A1Q8-10A-01D-A19A-08.2.bam	17918cd22e950f57a988353e86cf26c1	67c2ce49-1a56-4914-8a2e-8489a25709b4	9/22/13	9/22/13
TCGA-D3-A1Q8-06A-11D-A19A-08	C828.TCGA-D3-A1Q8-06A-11D-A19A-08.2.bam	a29dd7dc0334589b31f44b887f132e2c	d40b01bb-2be5-4ab2-840e-03c11bb69525	9/23/13	9/23/13
TCGA-D3-A1Q9-10A-01D-A19A-08	C828.TCGA-D3-A1Q9-10A-01D-A19A-08.2.bam	f367eb86ff07fe5894079a220e2fb9a4	a11f7047-211a-4bc7-b9e7-f034873ef668	9/22/13	9/22/13
TCGA-D3-A1Q9-06A-11D-A19A-08	C828.TCGA-D3-A1Q9-06A-11D-A19A-08.2.bam	a293c9880a10bd9c5b66226c8c4f4775	28cb3f45-5456-4efd-a11b-dc40aac0fd40	9/22/13	9/22/13
TCGA-D3-A1QA-10A-01D-A198-08	C828.TCGA-D3-A1QA-10A-01D-A198-08.2.bam	d39e8eab324da34a4967aaabbab50426	867b2767-4023-4a3b-946d-039cf048dcfe	9/22/13	9/22/13
TCGA-D3-A1QA-06A-11D-A196-08	C828.TCGA-D3-A1QA-06A-11D-A196-08.2.bam	058ad22e30acf85a15e4f2e2e0fc1e7c	5c0623bb-ba9c-4342-b23d-54c111084edb	9/22/13	9/22/13
TCGA-D3-A1QB-10A-01D-A19A-08	C828.TCGA-D3-A1QB-10A-01D-A19A-08.2.bam	51518ab6279633d7a55b2401a9e11dfe	f88a095e-0c42-4836-9bcf-8e77a7e69768	9/22/13	9/22/13
TCGA-D3-A1QB-06A-11D-A19A-08	C828.TCGA-D3-A1QB-06A-11D-A19A-08.2.bam	57c44c486ca308b3b6888fc3b02a5e17	a97bb692-cff7-44a2-b395-20072a3b69d9	9/22/13	9/22/13
TCGA-D3-A2J6-10A-01D-A19A-08	C828.TCGA-D3-A2J6-10A-01D-A19A-08.3.bam	819676b77b4c4090bf182f9acc3ae225	c97ef9ca-ec14-4f38-991c-ee43f7c03546	9/22/13	9/22/13
TCGA-D3-A2J6-06A-11D-A19A-08	C828.TCGA-D3-A2J6-06A-11D-A19A-08.3.bam	c30fe29b0fd0e2676233eb6968345f5b	a47131c5-c8a2-49aa-9917-2bd052fc86ec	9/22/13	9/22/13
TCGA-D3-A2J7-10A-01D-A198-08	C828.TCGA-D3-A2J7-10A-01D-A198-08.3.bam	2c345a32fddcb67e16835ea68c5578a5	e5dc9dd0-0b10-40bf-a3dc-b07b9cec9175	9/22/13	9/22/13
TCGA-D3-A2J7-06A-11D-A196-08	C828.TCGA-D3-A2J7-06A-11D-A196-08.3.bam	2b41c37b7296e031afc45ed60c3cb033	c657476c-3a02-4e36-9b5d-2015b9ec3c4c	9/22/13	9/22/13
TCGA-D3-A2J8-10A-01D-A198-08	C828.TCGA-D3-A2J8-10A-01D-A198-08.3.bam	3ab848f02be295d7f5934d34cec37d8d	633de24a-cbf2-4acf-8faa-1233c05705db	9/22/13	9/22/13
TCGA-D3-A2J8-06A-11D-A196-08	C828.TCGA-D3-A2J8-06A-11D-A196-08.3.bam	ca1bdc4574c55e5e26da77cf30138b70	46d7508b-a476-4f14-b53a-7a4f90f1493b	9/22/13	9/22/13
TCGA-D3-A2J9-10A-01D-A198-08	C828.TCGA-D3-A2J9-10A-01D-A198-08.2.bam	e578b95288617e2b640b3df1548cc0f9	b10a7da1-724f-4085-90d2-d3c5f27b5e49	9/22/13	9/22/13
