Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BF-A1PV-01A-11D-A192-01	1	3218610	201389685	99262	-0.0098
TCGA-BF-A1PV-01A-11D-A192-01	1	201394309	201400088	2	-1.4214
TCGA-BF-A1PV-01A-11D-A192-01	1	201400992	204783205	2198	0.0045
TCGA-BF-A1PV-01A-11D-A192-01	1	204787474	205691101	649	0.315
TCGA-BF-A1PV-01A-11D-A192-01	1	205697347	247813706	27002	-0.0104
TCGA-BF-A1PV-01A-11D-A192-01	2	484222	129051064	67033	-0.0207
TCGA-BF-A1PV-01A-11D-A192-01	2	129052655	129053496	2	-1.648
TCGA-BF-A1PV-01A-11D-A192-01	2	129055026	242476062	64216	-0.0113
TCGA-BF-A1PV-01A-11D-A192-01	3	2212571	163598497	89200	-0.0108
TCGA-BF-A1PV-01A-11D-A192-01	3	163604820	163605098	2	-1.3527
TCGA-BF-A1PV-01A-11D-A192-01	3	163606756	197538677	17155	-0.0125
TCGA-BF-A1PV-01A-11D-A192-01	4	1053934	188763651	102715	-0.007
TCGA-BF-A1PV-01A-11D-A192-01	5	914233	7520881	4661	-0.0521
TCGA-BF-A1PV-01A-11D-A192-01	5	7522301	7523240	4	-0.8992
TCGA-BF-A1PV-01A-11D-A192-01	5	7523690	16828233	5776	-0.0371
TCGA-BF-A1PV-01A-11D-A192-01	5	16831106	16831299	2	-1.5758
TCGA-BF-A1PV-01A-11D-A192-01	5	16834568	180360469	90039	-0.0125
TCGA-BF-A1PV-01A-11D-A192-01	6	1014281	57206230	33899	0.5216
TCGA-BF-A1PV-01A-11D-A192-01	6	57206294	65949460	1719	-0.0203
TCGA-BF-A1PV-01A-11D-A192-01	6	65950466	170037389	60319	-0.9315
TCGA-BF-A1PV-01A-11D-A192-01	6	170037876	170603846	100	-1.9359
TCGA-BF-A1PV-01A-11D-A192-01	6	170611931	170903919	190	-0.9475
TCGA-BF-A1PV-01A-11D-A192-01	7	705284	151982047	78035	-0.0159
TCGA-BF-A1PV-01A-11D-A192-01	7	151986823	152414872	181	0.4172
TCGA-BF-A1PV-01A-11D-A192-01	7	152416226	158385118	3077	-0.0497
TCGA-BF-A1PV-01A-11D-A192-01	8	617667	14935290	6939	0.8372
TCGA-BF-A1PV-01A-11D-A192-01	8	14935799	14936537	3	-0.4805
TCGA-BF-A1PV-01A-11D-A192-01	8	14937638	70206603	30682	0.8518
TCGA-BF-A1PV-01A-11D-A192-01	8	70207597	70208317	7	-0.0848
TCGA-BF-A1PV-01A-11D-A192-01	8	70211572	95556459	14182	0.866
TCGA-BF-A1PV-01A-11D-A192-01	8	95556550	95578349	19	0.4038
TCGA-BF-A1PV-01A-11D-A192-01	8	95579786	145232496	29698	0.8581
TCGA-BF-A1PV-01A-11D-A192-01	9	789932	16508227	9309	-0.3392
TCGA-BF-A1PV-01A-11D-A192-01	9	16508415	16508651	2	-2.1643
TCGA-BF-A1PV-01A-11D-A192-01	9	16508805	29551442	8555	-0.3329
TCGA-BF-A1PV-01A-11D-A192-01	9	29558231	29586029	11	0.294
TCGA-BF-A1PV-01A-11D-A192-01	9	29586574	38200670	4979	-0.3291
TCGA-BF-A1PV-01A-11D-A192-01	9	38202630	38208693	10	-1.0056
TCGA-BF-A1PV-01A-11D-A192-01	9	38209176	71691685	1041	-0.341
TCGA-BF-A1PV-01A-11D-A192-01	9	71693128	71694418	3	-1.7632
TCGA-BF-A1PV-01A-11D-A192-01	9	71696707	140938752	44056	-0.3345
TCGA-BF-A1PV-01A-11D-A192-01	10	415240	16488704	11649	-0.3458
TCGA-BF-A1PV-01A-11D-A192-01	10	16491917	135225087	69201	-0.0663
TCGA-BF-A1PV-01A-11D-A192-01	11	456120	663463	46	0.3361
TCGA-BF-A1PV-01A-11D-A192-01	11	691029	25409298	15964	-0.0281
TCGA-BF-A1PV-01A-11D-A192-01	11	25413655	25456932	23	-0.905
TCGA-BF-A1PV-01A-11D-A192-01	11	25460864	134142530	61198	-0.0265
TCGA-BF-A1PV-01A-11D-A192-01	12	889902	133161346	73923	-0.0106
TCGA-BF-A1PV-01A-11D-A192-01	13	19450806	114987458	56638	-0.0179
TCGA-BF-A1PV-01A-11D-A192-01	14	20501368	105988038	49435	-0.0148
TCGA-BF-A1PV-01A-11D-A192-01	15	23687685	101884307	44520	-0.0172
TCGA-BF-A1PV-01A-11D-A192-01	16	653459	74175779	30626	-0.0348
TCGA-BF-A1PV-01A-11D-A192-01	16	74175785	75173597	472	0.2266
TCGA-BF-A1PV-01A-11D-A192-01	16	75182089	89379936	9684	-0.0358
TCGA-BF-A1PV-01A-11D-A192-01	17	987221	80917016	36967	-0.0234
